"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @JackieFrancois: Boom! St. (Mother) Teresa wasn't a supermodel, but she was one of the most beautiful women who ever lived because she l",FALSE,0,NA,2017-10-20 16:36:39,FALSE,NA,"921414872935686144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jmquinn6",43,TRUE,FALSE,NA,NA
"RT @ramblingsloa: Not all of us can do great things.
But we can do small things with great love.

Mother Teresa https://t.co/5x2ovM7yLi",FALSE,0,NA,2017-10-20 16:35:58,FALSE,NA,"921414701963194370",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","p_panagiotakis",489,TRUE,FALSE,NA,NA
"In this life we cannot always do great things. But we can do small things with great love. -Mother Teresa",FALSE,0,NA,2017-10-20 16:35:50,FALSE,NA,"921414668433928192",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","MEANIEKSHOP17",0,FALSE,FALSE,NA,NA
"RT @ramblingsloa: It's not how much we give,
But how much love we put into giving.

Mother Teresa https://t.co/YHxDQNOcaE",FALSE,0,NA,2017-10-20 16:34:36,FALSE,NA,"921414355647856640",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","melinaexcat",544,TRUE,FALSE,NA,NA
"RT @ramblingsloa: It's not how much we give,
But how much love we put into giving.

Mother Teresa https://t.co/YHxDQNOcaE",FALSE,0,NA,2017-10-20 16:33:34,FALSE,NA,"921414098469969921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","p_panagiotakis",544,TRUE,FALSE,NA,NA
"RT @alphabetsuccess: No color, no religion, no nationality should come between us, we are all children of God. - Mother Teresa #quote",FALSE,0,NA,2017-10-20 16:33:22,FALSE,NA,"921414046452211713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SolRoots",82,TRUE,FALSE,NA,NA
"RT @JesusGraces: If you can't feed a hundred people, then feed just one. -Mother Teresa",FALSE,0,NA,2017-10-20 16:32:37,FALSE,NA,"921413857159073797",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErdooAdugba",64,TRUE,FALSE,NA,NA
"Teresa Giudice Remembers Late Mother Antonia Gorga On Her  : https://t.co/ClEQUx8G7e .,,,,",FALSE,0,NA,2017-10-20 16:32:10,FALSE,NA,"921413746609786880",NA,"<a href=""http://testn.macavalon.com"" rel=""nofollow"">celeb universal app</a>","BINGBING_CKTAIL",0,FALSE,FALSE,NA,NA
"RT @JackieFrancois: Boom! St. (Mother) Teresa wasn't a supermodel, but she was one of the most beautiful women who ever lived because she l",FALSE,0,NA,2017-10-20 16:31:52,FALSE,NA,"921413669593923585",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","colorfulshades",43,TRUE,FALSE,NA,NA
"RT @JackieFrancois: Boom! St. (Mother) Teresa wasn't a supermodel, but she was one of the most beautiful women who ever lived because she l",FALSE,0,NA,2017-10-20 16:31:47,FALSE,NA,"921413647154413568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","twirlinabby",43,TRUE,FALSE,NA,NA
"RT @LovLikeJesus: Be happy in the moment, that's enough. Each moment is all we need, not more. -Mother Teresa",FALSE,0,NA,2017-10-20 16:30:55,FALSE,NA,"921413428367052800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","aderinsolar_",125,TRUE,FALSE,NA,NA
"RT @JackieFrancois: Boom! St. (Mother) Teresa wasn't a supermodel, but she was one of the most beautiful women who ever lived because she l",FALSE,0,NA,2017-10-20 16:30:29,FALSE,NA,"921413321345191936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jester_hailie",43,TRUE,FALSE,NA,NA
"Every conversation at an #abortion facility should start with a smile &amp; love! ""Peace begins with a smile."" - Mother Teresa #sidewalkadvocacy",FALSE,2,NA,2017-10-20 16:30:11,FALSE,NA,"921413246866939904",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","LaurenMuzyka",2,FALSE,FALSE,NA,NA
"RT @noconversion: Mother Teresa exposed by People working for her - Must Watch 
--
https://t.co/Kuh5CTCZKo",FALSE,0,NA,2017-10-20 16:28:34,FALSE,NA,"921412837959901184",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sanjay_rai",152,TRUE,FALSE,NA,NA
"RT @livepositive11: In this life we cannot always do great things. But we can do small things with great love. -Mother Teresa",FALSE,0,NA,2017-10-20 16:28:02,FALSE,NA,"921412706493718528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","Bariha_Jadunath",108,TRUE,FALSE,NA,NA
"RT @alphabetsuccess: No color, no religion, no nationality should come between us, we are all children of God. - Mother Teresa #quote",FALSE,0,NA,2017-10-20 16:27:50,FALSE,NA,"921412653368659968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gerlyv1",82,TRUE,FALSE,NA,NA
"Loneliness and the feeling of being unwanted is the worst poverty of all.-Mother Teresa",FALSE,0,NA,2017-10-20 16:27:42,FALSE,NA,"921412619948277761",NA,"<a href=""http://twittbot.net/"" rel=""nofollow"">twittbot.net</a>","NotesLifePosts",0,FALSE,FALSE,NA,NA
"Boom! St. (Mother) Teresa wasn't a supermodel, but she was one of the most beautiful women who ever lived because s https://t.co/ps18gbF8YP",FALSE,204,NA,2017-10-20 16:27:09,TRUE,NA,"921412480810627073",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JackieFrancois",43,FALSE,FALSE,NA,NA
"RT @noconversion: Mother Teresa exposed by People working for her - Must Watch 
--
https://t.co/Kuh5CTCZKo",FALSE,0,NA,2017-10-20 16:26:48,FALSE,NA,"921412394793840640",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","observer1076",152,TRUE,FALSE,NA,NA
"Teresa Giudice Remembers Late Mother Antonia Gorga on Her Birthday: 'I Miss You Today &amp; Every Day' https://t.co/EClVSNcX3K",FALSE,0,NA,2017-10-20 16:26:13,TRUE,NA,"921412246185459712",NA,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>","QuencieThomas",0,FALSE,FALSE,NA,NA
"RT @Britanniacomms: Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin  Mother Teresa c @SeonSueq #nature http",FALSE,0,NA,2017-10-20 16:26:02,FALSE,NA,"921412203433156608",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Kismurch",7,TRUE,FALSE,NA,NA
"RT @noconversion: Mother Teresa exposed by People working for her - Must Watch 
--
https://t.co/Kuh5CTCZKo",FALSE,0,NA,2017-10-20 16:24:21,FALSE,NA,"921411778650693632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bhatia_priyaa",152,TRUE,FALSE,NA,NA
"RT @Britanniacomms: Yesterday is gone. Tomorrow has not yet come. We have only today. Let us begin  Mother Teresa c @SeonSueq #nature http",FALSE,0,NA,2017-10-20 16:19:11,FALSE,NA,"921410475803463680",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","maureencallan64",7,TRUE,FALSE,NA,NA
"RT @noconversion: Mother Teresa exposed by People working for her - Must Watch 
--
https://t.co/Kuh5CTCZKo",FALSE,0,NA,2017-10-20 16:17:00,FALSE,NA,"921409929910542336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","akmawasthi",152,TRUE,FALSE,NA,NA
"RT @AfricaProverbss: Each person you meet is Jesus in disguise. -Mother Teresa",FALSE,0,NA,2017-10-20 16:16:42,FALSE,NA,"921409851128819713",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","PoojaSKARtweetz",1,TRUE,FALSE,NA,NA
"RT @DavidRoads: Every time you smile at someone, it is an action of love, a gift to that person, a beautiful thing. -Mother Teresa",FALSE,0,NA,2017-10-20 16:16:01,FALSE,NA,"921409682102775810",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NesCrazyThunder",248,TRUE,FALSE,NA,NA
