"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @rolandsmartin: Anyone else here miss the class and grace of our most recent president? https://t.co/pYqgMsnSe0",FALSE,0,NA,2017-10-21 17:52:51,FALSE,NA,"921796436945125376",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PriestleyGlenda",124,TRUE,FALSE,NA,NA
"RT @rolandsmartin: Anyone else here miss the class and grace of our most recent president? https://t.co/pYqgMsnSe0",FALSE,0,NA,2017-10-21 17:52:48,FALSE,NA,"921796423380807680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gailwmcdonald",124,TRUE,FALSE,NA,NA
"RT @TheRoot: ""I don't want to hear folks complaining, and not doing something about it""

Barack Obama shares his take on the current state",FALSE,0,NA,2017-10-21 17:52:43,FALSE,NA,"921796404829458434",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","leakey08454358",709,TRUE,FALSE,NA,NA
"RT @TheresaMechele: Michelle and Barack Obama ""All this for a damn flag!"" at 9/11 Memorial!
Time to arrest BHO for TREASON! #Benghazi https",FALSE,0,NA,2017-10-21 17:52:40,FALSE,NA,"921796392233844737",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TheresaMechele",81,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:52:36,FALSE,NA,"921796375960047616",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pwally",303,TRUE,FALSE,NA,NA
"RT @drboycewatkins1: Just heard someone say, ""I was all for Barack Obama until he did that shit in Libya. Dropping bombs on black people is",FALSE,0,NA,2017-10-21 17:52:27,FALSE,NA,"921796336663629825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GrishKing",19,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:52:26,FALSE,NA,"921796331798069248",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Steve23097326",3965,TRUE,FALSE,NA,NA
"RT @LouDobbs: Bush &amp; Obama hate #AmericaFirst, wasted Trillions $, killed Millions of jobs.  https://t.co/lyGsCflRX1  #MAGA @realDonaldTrum",FALSE,0,NA,2017-10-21 17:52:21,FALSE,NA,"921796310071676928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","soniaerasmus",2773,TRUE,FALSE,NA,NA
"RT @Impeach_D_Trump: Barack Obama Is Back and Reminding Us What a President Looks Like.

RT If You Hope to see more of this incredible man!",FALSE,0,NA,2017-10-21 17:52:16,FALSE,NA,"921796292568903680",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","mrayem",1549,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:52:16,FALSE,NA,"921796289301499906",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RobinEnochs",3965,TRUE,FALSE,NA,NA
"RT @LinusKaikai: IF YOU have to win by dividing people, you wont be able to govern them. And you wont  be able to unite them later. Bar",FALSE,0,NA,2017-10-21 17:52:12,FALSE,NA,"921796274399084544",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","eric_muthomi",1948,TRUE,FALSE,NA,NA
"RT @LouDobbs: Bush &amp; Obama hate #AmericaFirst, wasted Trillions $, killed Millions of jobs.  https://t.co/lyGsCflRX1  #MAGA @realDonaldTrum",FALSE,0,NA,2017-10-21 17:52:10,FALSE,NA,"921796263565299714",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>","j_rperry987",2773,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:52:08,FALSE,NA,"921796258146193408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dpd176",3965,TRUE,FALSE,NA,NA
"RT @kwilli1046: Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. https://",FALSE,0,NA,2017-10-21 17:51:57,FALSE,NA,"921796210234707968",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","EmpressWife",3965,TRUE,FALSE,NA,NA
"RT @PhxKen: ""ONE DAY WE WILL REALIZE THAT THE BARACK OBAMA PRESIDENCY WAS THE BIGGEST FRAUD EVER PERPETRATED ON https://t.co/qMvVrvGkk0 #Th",FALSE,0,NA,2017-10-21 17:51:54,FALSE,NA,"921796198482284545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MississippiMac1",5176,TRUE,FALSE,NA,NA
"RT @kylegriffin1: 'I was very comforted': Gold Star families recall receiving condolences from Obama, contrast Trump's description. https:/",FALSE,0,NA,2017-10-21 17:51:48,FALSE,NA,"921796173500780544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TerryMcCracken",303,TRUE,FALSE,NA,NA
"RT @CarmineZozzora: Youre not gonna win an election by dividing people. 

- Barack Obama, Oct 19, 2017

#MAGA  @realDonaldTrump @Press",FALSE,0,NA,2017-10-21 17:51:46,FALSE,NA,"921796163149418497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hiwyatt25",218,TRUE,FALSE,NA,NA
