"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @PopCrave: Niall Horan on Donald Trump: Hes a shitshow... A f*cking joke. Impeach him, quick, because its becoming a disaster. https",FALSE,0,NA,2017-10-21 17:52:56,FALSE,NA,"921796457899884545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nouisbff",1465,TRUE,FALSE,NA,NA
"@HuffPostPol only ppl tuning in2 your BS r 1's that have a screw loose in the head #saturdaymorning #letsdothis
https://t.co/IYL1Q6aJbk",FALSE,0,"HuffPostPol",2017-10-21 17:52:56,FALSE,NA,"921796457694240769","15458694","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tammych84834131",0,FALSE,FALSE,NA,NA
"Bill O'Reilly (Donald Trump friend) settled $32million in Feb'17. Money and corruption w/in Fox family",FALSE,0,NA,2017-10-21 17:52:56,FALSE,NA,"921796457442582529",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Nsikak01",0,FALSE,FALSE,NA,NA
"RT @zackfox: White House: Donald Trump has just been pronounced de--

me: https://t.co/IcJlMgWSgY",FALSE,0,NA,2017-10-21 17:52:56,FALSE,NA,"921796456951902208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FROGMANSCIG",1074,TRUE,FALSE,NA,NA
"RT @CaptainsLog2017: #TwitterIn4Words

Ruined by Donald Trump",FALSE,0,NA,2017-10-21 17:52:55,FALSE,NA,"921796456301907970",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chanellie36",474,TRUE,FALSE,NA,NA
"RT @ChrisJZullo: Donald Trump on pace to golf more in 1 year than Obama did in 8. Guess all the saber-rattling was just that, hypocrisy #sa",FALSE,0,NA,2017-10-21 17:52:55,FALSE,NA,"921796455035293696",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kenikewahine78",390,TRUE,FALSE,NA,NA
"Thousands of Canadians live in the U.S. on NAFTA permits. So what happens if Trump kills the treaty? https://t.co/zguSDRf5dK #cdnpoli",FALSE,0,NA,2017-10-21 17:52:55,FALSE,NA,"921796454548635649",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","markrmcqueen",0,FALSE,FALSE,NA,NA
"RT @PopCrave: Niall Horan on Donald Trump: Hes a shitshow... A f*cking joke. Impeach him, quick, because its becoming a disaster. https",FALSE,0,NA,2017-10-21 17:52:55,FALSE,NA,"921796452728344577",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","stockhazzy",1465,TRUE,FALSE,NA,NA
"@GenJohnFKelly @realDonaldTrump you and trump are full of shit once more  donald has not given us diddly so far  he https://t.co/qkglbiPLPw",FALSE,0,"GenJohnFKelly",2017-10-21 17:52:55,TRUE,"921706414807982080","921796452527067136","891094042422853633","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","naliboff",0,FALSE,FALSE,NA,NA
"RT @funder: RT if you believe Rep Wilson, Sgt Johnsons widow, his mom, Dad, Uncle &amp; Aunt

Like if you believe  Donald John Trump

#IBeliev",FALSE,0,NA,2017-10-21 17:52:55,FALSE,NA,"921796452367634432",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","eieio1234",5239,TRUE,FALSE,NA,NA
